Espèce,Numéro nomenclatural,Nom retenu,Numéro nomenclatural nom retenu,Numéro taxonomique,Famille,Referentiel taxonomique,Commune,Identifiant Commune,Date,Lieu-dit,Station,Milieu,Notes,Latitude,Longitude,Altitude,Référentiel Géographique,Lumière,Température,Continentalité,Humidité Atmosphérique,Humidité,Réaction (pH),Nutriments,Salinité,Texture,Matière Organique,Code Catminat,Syntaxon,ext:personneStructure,ext:personneService,ext:personneFonction,ext:adresse,ext:latitudeDebutRue,ext:longitudeDebutRue,ext:latitudeFinRue,ext:longitudeFinRue,ext:typoUrbaine,ext:revetementSol,ext:presenceZoneVegetalise,ext:hauteurBatimentAvoisinant,ext:intensiteGestion,ext:periodiciteTraitementPhyto,ext:itineraireGestion,ext:dateDerniereIntervention,ext:hauteurPlante,ext:resistanceTraitementPhyto,ext:vitesseCroissance,ext:perceptionTechnicien,ext:perceptionRiverainMauvaise,ext:coteRue,ext:apparence
Hordeum murinum subsp. leporinum (Link) Arcang.,34859,Hordeum murinum subsp. leporinum (Link) Arcang.,34859,6957,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,départ sentier botanique,,"43,63977","3,87729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalaria leucantha (L.) Schrad. ex Roem. & Schult.,15706,Cephalaria leucantha (L.) Schrad. ex Roem. & Schult.,15706,2579,Caprifoliaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier botanique,,"43,64003","3,87785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium robertianum subsp. purpureum (Vill.) Nyman,30048,Geranium purpureum Vill.,30034,3437,Geraniaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier botanique,,"43,64003","3,87785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus madritensis L.,10881,Anisantha madritensis (L.) Nevski,4967,6708,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier botanique,,"43,64003","3,87785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torilis leptophylla (L.) Rchb.f.,68582,Torilis leptophylla (L.) Rchb.f.,68582,313,Apiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier botanique,,"43,64003","3,87785",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincetoxicum nigrum (L.) Moench,72002,Vincetoxicum nigrum (L.) Moench,72002,352,Apocynaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier botanique (+ loin),,"43,64039","3,87855",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena barbata Pott ex Link,8565,Avena barbata Pott ex Link,8565,6642,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier qui remonte l\'adret,,"43,64074","3,87861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus erectus Huds.,10685,Bromopsis erecta (Huds.) Fourr.,10518,6692,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier qui remonte l\\\'adret,,"43,64074","3,87861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachypodium retusum (Pers.) P.Beauv.,10163,Brachypodium retusum (Pers.) P.Beauv.,10163,6672,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords du sentier qui remonte l\\\'adret,,"43,64074","3,87861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorium intybus L.,17314,Cichorium intybus L.,17314,661,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,petite friche en contre-bas devant les autruches,,"43,64152","3,87925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urospermum picroides (L.) Scop. ex F.W.Schmidt,70382,Urospermum picroides (L.) Scop. ex F.W.Schmidt,70382,1287,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,petite friche en contre-bas devant les autruches,hauteur max. 1m50 !,"43,64152","3,87925",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis micrantha Czerep.,19707,Crepis micrantha Czerep.,19707,7590,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bord de chemin (entre Autruches et Oryx),,"43,64166","3,87971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dactylis glomerata subsp. hispanica (Roth) Nyman,21115,Dactylis glomerata subsp. hispanica (Roth) Nyman,21115,6756,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bord de chemin (entre Autruches et Oryx),,"43,64166","3,87971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himantoglossum robertianum (Loisel.) P.Delforge,78357,Himantoglossum robertianum (Loisel.) P.Delforge,78357,6418,Orchidaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,carrefour de chemins (petite friche devant les Oryx),,"43,64156","3,8809",,,9,8,3,5,5,7,5,0,2,2,09/3.0.1.0.2,Brachypodion phoenicoidis Braun-Blanquet 1931,,,,,,,,,,,,,,,,,,,,,,,
Carduus pycnocephalus subsp. pycnocephalus,13313,Carduus pycnocephalus subsp. pycnocephalus ,13313,543,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,carrefour de chemins (petite friche devant les Oryx),hauteur max. 1m80 !,"43,64156","3,8809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus erectus Huds.,10685,Bromopsis erecta (Huds.) Fourr.,10518,6692,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,carrefour de chemins (petite friche devant les Oryx),,"43,64156","3,8809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elytrigia repens subsp. repens,23916,Elytrigia repens subsp. repens ,23916,9912,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,carrefour de chemins (petite friche devant les Oryx),,"43,64156","3,8809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium album L.,16741,Chenopodium album L.,16741,2335,Amaranthaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords de chemin (après le dromadaire),"feuilles grandes, presque aussi larges que longues","43,64212","3,88124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapsana communis subsp. communis,37661,Lapsana communis subsp. communis ,37661,12391,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords de chemin (après le dromadaire),"feuilles, flleurs et fruits (détermination Flore-Med)   PHOTOS","43,64212","3,88124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia peplus var. peplus,26000,Euphorbia peplus var. peplus ,26000,9994,Euphorbiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords de chemin (après le dromadaire),,"43,64212","3,88124",,,8,6,3,5,4,7,7,0,3,0,13/5.0.1.0.2,Valantio muralis - Galion muralis Brullo in Brullo & Marceno 1985,,,,,,,,,,,,,,,,,,,,,,,
Lapsana communis subsp. communis,37661,Lapsana communis subsp. communis ,37661,12391,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bords de chemin (devant le Calao),,"43,64233","3,88161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata subsp. lanceolata,49951,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva sylvestris subsp. sylvestris,40899,Malva sylvestris subsp. sylvestris ,40899,12611,Malvaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,8,6,5,5,4,7,8,0,3,2,13/1.,,,,,,,,,,,,,,,,,,,,,,,,
Verbascum sinuatum L.,70972,Verbascum sinuatum L.,70972,5485,Scrophulariaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rostraria cristata var. cristata,57835,Rostraria cristata var. cristata ,57835,13963,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,0,0,0,0,0,0,0,0,0,0,08/4.0.1.0.2,Sideriti romanae - Hypochaeridion achyrophori (Braun-Blanquet 1925) de Foucault 1999,,,,,,,,,,,,,,,,,,,,,,,
Piptatherum miliaceum var. miliaceum,49725,Oloptum miliaceum f. miliaceum ,119152,13288,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena barbata Pott ex Link,8565,Avena barbata Pott ex Link,8565,6642,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torilis arvensis subsp. arvensis,68555,Torilis arvensis subsp. arvensis ,68555,307,Apiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,derrière la vitre (coté guépards),,"43,64224","3,8828",,,7,7,3,4,4,8,7,0,2,0,13/3.0.2.0.1,Caucalidion platycarpi Tüxen 1950 ex von Rochow 1951,,,,,,,,,,,,,,,,,,,,,,,
Bituminaria bituminosa (L.) C.H.Stirt.,9872,Bituminaria bituminosa (L.) C.H.Stirt.,9872,2834,Fabaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (en face les guépards),,"43,64237","3,88288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echium vulgare L.,23559,Echium vulgare L.,23559,9898,Boraginaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bord de chemin (dernier carrefour),,"43,64224","3,88344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agave americana L.,1116,Agave americana L.,1116,5794,Asparagaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bord de chemin (derrière les guépards),en fleurs ! Hauteur environs 6m (PHOTOS),"43,64193","3,88332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballota nigra subsp. meridionalis (Bég.) Bég.,9100,Ballota nigra subsp. foetida (Vis.) Hayek,9099,3524,Lamiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bord de chemin (derrière les guépards),,"43,64193","3,88332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quercus pubescens Willd.,54438,Quercus pubescens Willd.,54438,13623,Fagaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,"garrigue boisée (derrière les guépards, vers le bas)",,"43,64144","3,88338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pistacia terebinthus subsp. terebinthus,49757,Pistacia terebinthus subsp. terebinthus ,49757,56,Anacardiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,"garrigue boisée (derrière les guépards, vers le bas)",hauteur 6m !,"43,64144","3,88338",,,8,8,2,4,4,6,5,0,3,2,15/1.0.1.0.1,Myrtion communis Allier & Lacoste 1980,,,,,,,,,,,,,,,,,,,,,,,
Acer monspessulanum subsp. monspessulanum,187,Acer monspessulanum L.,182,8523,Sapindaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,"garrigue boisée (derrière les guépards, vers le bas)",jeune individu (50 cm),"43,64144","3,88338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cistus monspeliensis L.,18026,Cistus monspeliensis L.,18026,2401,Cistaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,"garrigue boisée (derrière les guépards, vers le bas)",,"43,64144","3,88338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtis australis L.,14954,Celtis australis L.,14954,5634,Cannabaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,"garrigue boisée (derrière les guépards, vers le bas)",jeune individu (50 cm),"43,64144","3,88338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus cerasifera Ehrh.,53439,Prunus cerasifera Ehrh.,53439,4832,Rosaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,"garrigue boisée (derrière les guépards, vers le bas)",jeune individu (50 cm),"43,64144","3,88338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis flammula subsp. flammula,75556,Clematis flammula L.,18206,4434,Ranunculaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue boisée (chemin du retour),,"43,64101","3,88306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hedera helix subsp. helix,30896,Hedera helix f. helix ,30896,10318,Araliaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue boisée (chemin du retour),,"43,64101","3,88306",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ononis minutissima L.,44833,Ononis minutissima L.,44833,3083,Fabaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (croisement du retour),,"43,64085","3,8815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bupleurum rigidum subsp. rigidum,11635,Bupleurum rigidum subsp. rigidum ,11635,122,Apiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (croisement du retour),,"43,64085","3,8815",,,8,8,3,3,4,8,3,0,3,2,09/3.0.1,,,,,,,,,,,,,,,,,,,,,,,,
Hypericum perforatum L.,35348,Hypericum perforatum L.,35348,3494,Hypericaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,herbes du bord de chemin (montée de l\'adret),,"43,64123","3,88087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigella damascena L.,44101,Nigella damascena L.,44101,4465,Ranunculaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,herbes du bord de chemin (montée de l\'adret),,"43,64123","3,88087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papaver rhoeas subsp. rhoeas,47822,Papaver rhoeas L.,75277,30269,Papaveraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,herbes du bord de chemin (montée de l\\\'adret),,"43,64123","3,88087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teucrium chamaedrys L.,67333,Teucrium chamaedrys L.,67333,14778,Lamiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (croisement du retour),,"43,64085","3,8815",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tordylium maximum L.,68543,Tordylium maximum L.,68543,306,Apiaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,herbes du bord de chemin (montée de l\\\'adret),,"43,64123","3,88087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis pulchra L.,19738,Crepis pulchra L.,19738,728,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,herbes du bord de chemin (montée de l\\\\\\\'adret),,"43,64123","3,88087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melica ciliata subsp. magnolii (Godr. & Gren.) K.Richt.,41688,Melica ciliata subsp. magnolii (Godr. & Gren.) K.Richt.,41688,6994,Poaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,friche herbacée derrière la barrière (autruches),,"43,64158","3,88025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincetoxicum nigrum (L.) Moench,,,,,,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (en face autruches),,"43,64165","3,88017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carex distachya Desf.,13659,Carex distachya Desf.,13659,5889,Cyperaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (croisement),,"43,64153","3,87877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sedum sediforme (Jacq.) Pau,62352,Sedum sediforme (Jacq.) Pau,62352,2520,Crassulaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,garrigue bord de chemin (croisement),,"43,64151","3,87861",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryonia cretica subsp. dioica (Jacq.) Tutin,11288,Bryonia cretica subsp. dioica (Jacq.) Tutin,11288,2547,Cucurbitaceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,foret bord de chemin (retour),,"43,64137","3,8783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lapsana communis subsp. communis,37661,Lapsana communis subsp. communis ,37661,12391,Asteraceae,bdtfx,Montpellier,34,2013/07/03,Lunaret,à l intérieur du zoo,bord de chemin (sous les pins),,"43,64137","3,8783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sorghum halepense (L.) Pers.,65357,Sorghum halepense (L.) Pers.,65357,7142,Poaceae,bdtfx,Montpellier,34,2013/07/04,Hopitaux-Facultes,station de tram Universites,jardiniere mal entretenue,,"43,62924","3,86138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Convolvulus arvensis subsp. arvensis,18744,Convolvulus arvensis L.,75060,30052,Convolvulaceae,bdtfx,Montpellier,34,2013/07/04,Hopitaux-Facultes,station de tram Universites,jardiniere mal entretenue,grimpante sur Sorghum halepense,"43,62924","3,86138",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paspalum dilatatum,48013,Paspalum dilatatum Poir.,48013,7037,Poaceae,bdtfx,Montpellier,34,2013/07/04,quartier Gambetta / Toulouse,Avenue de la Liberté,talus herbacé +/- arboré,,"43,60153","3,8679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chenopodium album L.,16741,Chenopodium album L.,16741,2335,Amaranthaceae,bdtfx,Montpellier,34,2013/07/04,quartier Gambetta / Toulouse,Avenue de la Liberté,talus herbacé +/- arboré,"feuilles grandes, presque aussi large que longues","43,60153","3,8679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broussonetia papyrifera (L.) Vent.,11280,Broussonetia papyrifera (L.) Vent.,11280,3846,Moraceae,bdtfx,Montpellier,34,2013/07/04,quartier Gambetta / Toulouse,Avenue de la Liberté,talus herbacé +/- arboré,spontané / naturalisé,"43,60153","3,8679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senecio inaequidens DC.,62909,Senecio inaequidens DC.,62909,1176,Asteraceae,bdtfx,Montpellier,34,2013/07/04,quartier Jardin des Plantes,en haut du Bd Henri IV,rond de platane,,"43,61264","3,87246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca serriola L.,37373,Lactuca serriola L.,37373,991,Asteraceae,bdtfx,Montpellier,34,2013/07/04,quartier Jardin des Plantes,en haut du Bd Henri IV,rond de platane,"feuilles, fleurs et fruits (PHOTOS).","43,61264","3,87246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silene nocturna subsp. nocturna,64252,Silene nocturna L.,64245,14527,Caryophyllaceae,bdtfx,Montpellier,34,2013/07/05,Alco (conseil Général),rue derrière le MacDonalds,trottoirs,,"43,62525","3,83824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asparagus acutifolius L.,7214,Asparagus acutifolius L.,7214,6269,Asparagaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\'entrée de l\'hopital Lapeyronnie,sous le cyprès,,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactuca serriola L.,37373,Lactuca serriola L.,37373,991,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\'entrée de l\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.,19660,Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.,19660,720,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.,19660,Crepis foetida subsp. rhoeadifolia (M.Bieb.) Celak.,19660,720,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantago lanceolata subsp. lanceolata,49951,Plantago lanceolata L.,49948,4094,Plantaginaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crepis bursifolia L.,19627,Crepis bursifolia L.,19627,715,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portulaca oleracea L.,52102,Portulaca oleracea L.,52102,4300,Portulacaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malva sylvestris L.,40893,Malva sylvestris L.,40893,3831,Malvaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euphorbia segetalis subsp. segetalis,26062,Euphorbia segetalis subsp. segetalis ,26062,2735,Euphorbiaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sixalix atropurpurea subsp. maritima (L.) Greuter & Burdet,64815,Scabiosa atropurpurea var. maritima (L.) Fiori,61097,2623,Caprifoliaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bromus madritensis L.,10881,Anisantha madritensis (L.) Nevski,4967,6708,Poaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Avena barbata Pott ex Link,8565,Avena barbata Pott ex Link,8565,6642,Poaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinus halepensis subsp. halepensis,49624,Pinus halepensis subsp. halepensis ,49624,7279,Pinaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,8,8,3,3,3,7,4,0,5,4,16/3.,,,,,,,,,,,,,,,,,,,,,,,,
Hordeum murinum subsp. leporinum (Link) Arcang.,34859,Hordeum murinum subsp. leporinum (Link) Arcang.,34859,6957,Poaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonchus tenerrimus L.,65231,Sonchus tenerrimus L.,65231,1234,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piptatherum miliaceum (L.) Coss.,49724,Oloptum miliaceum (L.) Röser & Hamasha,119150,7069,Poaceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,70381,Urospermum dalechampii (L.) Scop. ex F.W.Schmidt,70381,1286,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,9,8,4,4,4,7,5,0,3,2,09/3.,,,,,,,,,,,,,,,,,,,,,,,,
Reichardia picroides (L.) Roth,55654,Reichardia picroides (L.) Roth,55654,1115,Asteraceae,bdtfx,Montpellier,34,2013/07/05,Hopitaux-Facultes,en face l\\\'entrée de l\\\'hopital Lapeyronnie,bordure de parking,relevé phytosocio 10x2 = 20 m²,"43,63173","3,85404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
